year,temperature_anomaly,risk_score,sustainability_score,environmental_health_index
1925,-0.22,39.823243875484806,60.176756124515194,60.176756124515194
1926,-0.11,39.823243875484806,60.176756124515194,60.176756124515194
1927,-0.22,39.823243875484806,60.176756124515194,60.176756124515194
1928,-0.2,39.823243875484806,60.176756124515194,60.176756124515194
1929,-0.36,39.823243875484806,60.176756124515194,60.176756124515194
1930,-0.16,39.823243875484806,60.176756124515194,60.176756124515194
1931,-0.09,39.823243875484806,60.176756124515194,60.176756124515194
1932,-0.16,39.823243875484806,60.176756124515194,60.176756124515194
1933,-0.29,39.823243875484806,60.176756124515194,60.176756124515194
1934,-0.13,39.823243875484806,60.176756124515194,60.176756124515194
1935,-0.2,39.823243875484806,60.176756124515194,60.176756124515194
1936,-0.15,39.823243875484806,60.176756124515194,60.176756124515194
1937,-0.03,39.823243875484806,60.176756124515194,60.176756124515194
1938,0.0,39.823243875484806,60.176756124515194,60.176756124515194
1939,-0.02,39.823243875484806,60.176756124515194,60.176756124515194
1940,0.12,39.823243875484806,60.176756124515194,60.176756124515194
1941,0.18,39.823243875484806,60.176756124515194,60.176756124515194
1942,0.06,39.823243875484806,60.176756124515194,60.176756124515194
1943,0.09,39.823243875484806,60.176756124515194,60.176756124515194
1944,0.2,39.823243875484806,60.176756124515194,60.176756124515194
1945,0.09,39.823243875484806,60.176756124515194,60.176756124515194
1946,-0.07,39.823243875484806,60.176756124515194,60.176756124515194
1947,-0.03,39.823243875484806,60.176756124515194,60.176756124515194
1948,-0.11,39.823243875484806,60.176756124515194,60.176756124515194
1949,-0.11,39.823243875484806,60.176756124515194,60.176756124515194
1950,-0.18,39.823243875484806,60.176756124515194,60.176756124515194
1951,-0.07,39.823243875484806,60.176756124515194,60.176756124515194
1952,0.01,39.823243875484806,60.176756124515194,60.176756124515194
1953,0.08,39.823243875484806,60.176756124515194,60.176756124515194
1954,-0.13,39.823243875484806,60.176756124515194,60.176756124515194
